Trial 50 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 875, 'max_depth': 13, 'min_samples_split': 66, 'min_samples_leaf': 56, 'criterion': 'entropy'}.
Trial 51 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 908, 'max_depth': 17, 'min_samples_split': 31, 'min_samples_leaf': 48, 'criterion': 'entropy'}.
Trial 52 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 640, 'max_depth': 9, 'min_samples_split': 39, 'min_samples_leaf': 42, 'criterion': 'entropy'}.
Trial 53 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 836, 'max_depth': 15, 'min_samples_split': 24, 'min_samples_leaf': 38, 'criterion': 'entropy'}.
Trial 54 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 899, 'max_depth': 21, 'min_samples_split': 10, 'min_samples_leaf': 49, 'criterion': 'gini'}.
Trial 55 finished with value: 0.6304347826086957 and parameters: {'n_estimators': 952, 'max_depth': 64, 'min_samples_split': 33, 'min_samples_leaf': 24, 'criterion': 'entropy'}.
Trial 56 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 767, 'max_depth': 8, 'min_samples_split': 45, 'min_samples_leaf': 45, 'criterion': 'entropy'}.
Trial 57 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 443, 'max_depth': 82, 'min_samples_split': 20, 'min_samples_leaf': 57, 'criterion': 'entropy'}.
Trial 58 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 1000, 'max_depth': 13, 'min_samples_split': 147, 'min_samples_leaf': 66, 'criterion': 'gini'}.
Trial 59 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 238, 'max_depth': 18, 'min_samples_split': 26, 'min_samples_leaf': 54, 'criterion': 'entropy'}.
Trial 60 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 850, 'max_depth': 34, 'min_samples_split': 38, 'min_samples_leaf': 61, 'criterion': 'entropy'}.
Trial 61 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 817, 'max_depth': 11, 'min_samples_split': 29, 'min_samples_leaf': 51, 'criterion': 'entropy'}.
Trial 62 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 826, 'max_depth': 11, 'min_samples_split': 15, 'min_samples_leaf': 41, 'criterion': 'entropy'}.
Trial 63 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 797, 'max_depth': 8, 'min_samples_split': 53, 'min_samples_leaf': 49, 'criterion': 'entropy'}.
Trial 64 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 748, 'max_depth': 15, 'min_samples_split': 28, 'min_samples_leaf': 51, 'criterion': 'entropy'}.
Trial 65 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 889, 'max_depth': 5, 'min_samples_split': 94, 'min_samples_leaf': 46, 'criterion': 'entropy'}.
Trial 66 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 690, 'max_depth': 24, 'min_samples_split': 7, 'min_samples_leaf': 36, 'criterion': 'entropy'}.
Trial 67 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 865, 'max_depth': 19, 'min_samples_split': 35, 'min_samples_leaf': 43, 'criterion': 'entropy'}.
Trial 68 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 733, 'max_depth': 28, 'min_samples_split': 62, 'min_samples_leaf': 88, 'criterion': 'entropy'}.
Trial 69 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 938, 'max_depth': 11, 'min_samples_split': 20, 'min_samples_leaf': 69, 'criterion': 'gini'}.
Trial 70 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 801, 'max_depth': 14, 'min_samples_split': 44, 'min_samples_leaf': 54, 'criterion': 'entropy'}.
Trial 71 finished with value: 0.7282608695652174 and parameters: {'n_estimators': 827, 'max_depth': 10, 'min_samples_split': 28, 'min_samples_leaf': 49, 'criterion': 'entropy'}.
Trial 72 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 852, 'max_depth': 7, 'min_samples_split': 28, 'min_samples_leaf': 51, 'criterion': 'entropy'}.
Trial 73 finished with value: 0.717391304347826 and parameters: {'n_estimators': 765, 'max_depth': 11, 'min_samples_split': 15, 'min_samples_leaf': 59, 'criterion': 'entropy'}.
Trial 74 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 766, 'max_depth': 16, 'min_samples_split': 4, 'min_samples_leaf': 59, 'criterion': 'entropy'}.
Trial 75 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 918, 'max_depth': 21, 'min_samples_split': 14, 'min_samples_leaf': 66, 'criterion': 'entropy'}.
Trial 76 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 718, 'max_depth': 9, 'min_samples_split': 22, 'min_samples_leaf': 63, 'criterion': 'entropy'}.
Trial 77 finished with value: 0.717391304347826 and parameters: {'n_estimators': 652, 'max_depth': 13, 'min_samples_split': 195, 'min_samples_leaf': 55, 'criterion': 'entropy'}.
Trial 78 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 657, 'max_depth': 19, 'min_samples_split': 173, 'min_samples_leaf': 55, 'criterion': 'entropy'}.
Trial 79 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 622, 'max_depth': 12, 'min_samples_split': 137, 'min_samples_leaf': 58, 'criterion': 'entropy'}.
Trial 80 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 527, 'max_depth': 7, 'min_samples_split': 151, 'min_samples_leaf': 62, 'criterion': 'entropy'}.
Trial 81 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 774, 'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 54, 'criterion': 'entropy'}.
Trial 82 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 701, 'max_depth': 17, 'min_samples_split': 118, 'min_samples_leaf': 72, 'criterion': 'entropy'}.
Trial 83 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 795, 'max_depth': 5, 'min_samples_split': 75, 'min_samples_leaf': 47, 'criterion': 'entropy'}.
Trial 84 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 754, 'max_depth': 27, 'min_samples_split': 198, 'min_samples_leaf': 45, 'criterion': 'entropy'}.
Trial 85 finished with value: 0.7282608695652174 and parameters: {'n_estimators': 839, 'max_depth': 10, 'min_samples_split': 35, 'min_samples_leaf': 49, 'criterion': 'entropy'}.
Trial 86 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 838, 'max_depth': 10, 'min_samples_split': 15, 'min_samples_leaf': 59, 'criterion': 'entropy'}.
Trial 87 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 570, 'max_depth': 23, 'min_samples_split': 189, 'min_samples_leaf': 78, 'criterion': 'gini'}.
Trial 88 finished with value: 0.717391304347826 and parameters: {'n_estimators': 734, 'max_depth': 13, 'min_samples_split': 37, 'min_samples_leaf': 50, 'criterion': 'entropy'}.
Trial 89 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 785, 'max_depth': 46, 'min_samples_split': 48, 'min_samples_leaf': 41, 'criterion': 'entropy'}.
Trial 90 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 672, 'max_depth': 7, 'min_samples_split': 39, 'min_samples_leaf': 49, 'criterion': 'entropy'}.
Trial 91 finished with value: 0.717391304347826 and parameters: {'n_estimators': 814, 'max_depth': 13, 'min_samples_split': 19, 'min_samples_leaf': 53, 'criterion': 'entropy'}.
Trial 92 finished with value: 0.717391304347826 and parameters: {'n_estimators': 817, 'max_depth': 13, 'min_samples_split': 23, 'min_samples_leaf': 53, 'criterion': 'entropy'}.
Trial 93 finished with value: 0.717391304347826 and parameters: {'n_estimators': 727, 'max_depth': 10, 'min_samples_split': 34, 'min_samples_leaf': 57, 'criterion': 'entropy'}.
Trial 94 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 875, 'max_depth': 19, 'min_samples_split': 17, 'min_samples_leaf': 50, 'criterion': 'entropy'}.
Trial 95 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 836, 'max_depth': 16, 'min_samples_split': 12, 'min_samples_leaf': 43, 'criterion': 'entropy'}.
Trial 96 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 807, 'max_depth': 13, 'min_samples_split': 26, 'min_samples_leaf': 56, 'criterion': 'entropy'}.
Trial 97 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 855, 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 37, 'criterion': 'entropy'}.
